,dataset,robustness_method,pipeline_id,selection_metric_name,selection_score,architectures_covered,run_count,selection_rank,is_representative,candidate_count
21,ETTh1,adversarial_training,advtrain_eps0.1_steps5_alpha0.02_channelsall,best_val_loss,0.3469904065132141,1,1,1,True,3
22,ETTh1,adversarial_training,advtrain_eps0.2_steps7_alpha0.02_channelsall,best_val_loss,0.35313376784324646,1,1,2,False,3
23,ETTh1,adversarial_training,advtrain_eps0.05_steps7_alpha0.02_channelsall,best_val_loss,0.4099417229493459,3,3,3,False,3
24,ETTh1,ensemble,ensemble_top10_mean,MSE_val,0.34776073694229126,1,1,1,True,3
25,ETTh1,ensemble,ensemble_top3_mean,MSE_val,0.37511035799980164,1,1,2,False,3
26,ETTh1,ensemble,ensemble_top5_mean,MSE_val,0.4083440105120341,3,3,3,False,3
27,ETTh1,fault_augmentation,fa_profholdout_simple_mix0.75_sev0.75_frac0.25,best_val_loss,0.35284510254859924,1,1,1,True,4
28,ETTh1,fault_augmentation,fa_profholdout_simple_mix0.75_sev1.0_frac0.25,best_val_loss,0.35745102167129517,1,1,2,False,4
29,ETTh1,fault_augmentation,fa_profholdout_varying_mix0.75_sev0.75_frac0.1,best_val_loss,0.3813733458518982,2,2,3,False,4
30,ETTh1,fault_augmentation,fa_profholdout_simple_mix1.0_sev0.75_frac0.1,best_val_loss,0.5050154328346252,1,1,4,False,4
31,ETTh1,randomized_smoothing,rs_backbonebaseline_std0.5_samples30_alpha0.25,MSE_val,0.38116419315338135,1,1,1,True,2
32,ETTh1,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,MSE_val,0.3955792188644409,4,4,2,False,2
33,ETTh1,randomized_training,rt_spaceraw_std0.1_channelscontinuous,best_val_loss,0.3727988402048747,3,3,1,True,2
34,ETTh1,randomized_training,rt_spaceraw_std0.2_channelscontinuous,best_val_loss,0.4389205425977707,2,2,2,False,2
35,ETTh1,revin,revin_affineFalse_eps1e-5,best_val_loss,0.35699912905693054,1,1,1,True,2
36,ETTh1,revin,revin_affineTrue_eps1e-5,best_val_loss,0.3714950780073802,3,3,2,False,2
37,Penmanshiel_Hourly_WT08,adaptive_robust_loss,arl_alo0.001_ainit1.0_slo0.001_sinit0.1,best_val_loss,0.6892910301685333,2,2,1,True,4
38,Penmanshiel_Hourly_WT08,adaptive_robust_loss,arl_alo0.001_ainit1.0_slo1e-05_sinit0.1,best_val_loss,0.8042126893997192,1,1,2,False,4
39,Penmanshiel_Hourly_WT08,adaptive_robust_loss,arl_alo0.5_ainit1.0_slo0.01_sinit1.0,best_val_loss,0.9074698090553284,1,1,3,False,4
40,Penmanshiel_Hourly_WT08,adaptive_robust_loss,arl_alo0.001_ainit1.9_slo0.001_sinit1.0,best_val_loss,0.9735094904899597,1,1,4,False,4
41,Penmanshiel_Hourly_WT08,adversarial_training,advtrain_eps0.05_steps3_alpha0.02_channelsall,best_val_loss,0.3014352321624756,1,1,1,True,4
42,Penmanshiel_Hourly_WT08,adversarial_training,advtrain_eps0.2_steps3_alpha0.02_channelsall,best_val_loss,0.3061239421367645,1,1,2,False,4
43,Penmanshiel_Hourly_WT08,adversarial_training,advtrain_eps0.1_steps3_alpha0.02_channelsall,best_val_loss,0.3097608983516693,1,1,3,False,4
44,Penmanshiel_Hourly_WT08,adversarial_training,advtrain_eps0.05_steps7_alpha0.02_channelsall,best_val_loss,0.322748139500618,2,2,4,False,4
45,Penmanshiel_Hourly_WT08,ensemble,ensemble_top10_mean,MSE_val,0.31133322914441425,3,3,1,True,2
46,Penmanshiel_Hourly_WT08,ensemble,ensemble_top7_mean,MSE_val,0.3142325282096863,2,2,2,False,2
47,Penmanshiel_Hourly_WT08,fault_augmentation,fa_profholdout_varying_mix0.75_sev0.75_frac0.1,best_val_loss,0.301647424697876,1,1,1,True,4
48,Penmanshiel_Hourly_WT08,fault_augmentation,fa_profholdout_simple_mix0.75_sev1.0_frac0.1,best_val_loss,0.3176819235086441,2,2,2,False,4
49,Penmanshiel_Hourly_WT08,fault_augmentation,fa_profholdout_simple_mix0.75_sev0.75_frac0.1,best_val_loss,0.3221336007118225,1,1,3,False,4
50,Penmanshiel_Hourly_WT08,fault_augmentation,fa_profholdout_simple_mix1.0_sev1.0_frac0.1,best_val_loss,0.32259392738342285,1,1,4,False,4
51,Penmanshiel_Hourly_WT08,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.35,MSE_val,0.29957959055900574,1,1,1,True,3
52,Penmanshiel_Hourly_WT08,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,MSE_val,0.32151030500729877,3,3,2,False,3
53,Penmanshiel_Hourly_WT08,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.45,MSE_val,0.32581233978271484,1,1,3,False,3
54,Penmanshiel_Hourly_WT08,randomized_training,rt_spaceraw_std0.2_channelscontinuous,best_val_loss,0.29833200573921204,1,1,1,True,2
55,Penmanshiel_Hourly_WT08,randomized_training,rt_spaceraw_std0.1_channelscontinuous,best_val_loss,0.3248400017619133,4,4,2,False,2
56,Penmanshiel_Hourly_WT08,revin,revin_affineTrue_eps1e-5,best_val_loss,0.3131985664367676,2,2,1,True,2
57,Penmanshiel_Hourly_WT08,revin,revin_affineFalse_eps1e-5,best_val_loss,0.32200683653354645,2,2,2,False,2
58,traffic,adaptive_robust_loss,arl_alo0.001_ainit1.0_slo0.01_sinit1.0,best_val_loss,0.019459715113043785,1,1,1,True,5
59,traffic,adaptive_robust_loss,arl_alo0.001_ainit1.9_slo0.01_sinit0.1,best_val_loss,0.29108452796936035,1,1,2,False,5
60,traffic,adaptive_robust_loss,arl_alo0.001_ainit1.0_slo1e-05_sinit1.0,best_val_loss,0.30322685837745667,1,1,3,False,5
61,traffic,adaptive_robust_loss,arl_alo0.001_ainit1.0_slo1e-05_sinit0.1,best_val_loss,0.4540768563747406,1,1,4,False,5
62,traffic,adaptive_robust_loss,arl_alo0.001_ainit1.5_slo0.001_sinit0.1,best_val_loss,0.46753454208374023,1,1,5,False,5
63,traffic,adversarial_training,advtrain_eps0.05_steps5_alpha0.02_channelsall,best_val_loss,0.33538275957107544,1,1,1,True,5
64,traffic,adversarial_training,advtrain_eps0.1_steps5_alpha0.02_channelsall,best_val_loss,0.40360239148139954,1,1,2,False,5
65,traffic,adversarial_training,advtrain_eps0.05_steps7_alpha0.02_channelsall,best_val_loss,0.41312772035598755,1,1,3,False,5
66,traffic,adversarial_training,advtrain_eps0.2_steps7_alpha0.02_channelsall,best_val_loss,0.47569650411605835,1,1,4,False,5
67,traffic,adversarial_training,advtrain_eps0.05_steps3_alpha0.02_channelsall,best_val_loss,0.5124183893203735,1,1,5,False,5
68,traffic,ensemble,ensemble_top10_mean,MSE_val,0.39261215925216675,2,2,1,True,3
69,traffic,ensemble,ensemble_top3_mean,MSE_val,0.40366142988204956,2,2,2,False,3
70,traffic,ensemble,ensemble_top5_mean,MSE_val,0.5110814571380615,1,1,3,False,3
71,traffic,fault_augmentation,fa_profholdout_varying_mix1.0_sev1.0_frac0.1,best_val_loss,0.33249610662460327,1,1,1,True,4
72,traffic,fault_augmentation,fa_profholdout_simple_mix1.0_sev0.75_frac0.1,best_val_loss,0.4119585454463959,1,1,2,False,4
73,traffic,fault_augmentation,fa_profholdout_varying_mix0.75_sev0.75_frac0.1,best_val_loss,0.4627002626657486,2,2,3,False,4
74,traffic,fault_augmentation,fa_profholdout_simple_mix0.75_sev0.75_frac0.25,best_val_loss,0.4696827232837677,1,1,4,False,4
75,traffic,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,MSE_val,0.4302069619297981,4,4,1,True,2
76,traffic,randomized_smoothing,rs_backbonebaseline_std0.5_samples30_alpha0.25,MSE_val,0.4827027916908264,1,1,2,False,2
77,traffic,randomized_training,rt_spaceraw_std0.1_channelscontinuous,best_val_loss,0.4226551949977875,4,4,1,True,2
78,traffic,randomized_training,rt_spaceraw_std0.3_channelscontinuous,best_val_loss,0.4820117652416229,1,1,2,False,2
79,traffic,revin,revin_affineFalse_eps1e-5,best_val_loss,0.39477312564849854,2,2,1,True,2
80,traffic,revin,revin_affineTrue_eps1e-5,best_val_loss,0.4432949721813202,2,2,2,False,2
