,dataset,robustness_method,scenario,delta_D
120,Penmanshiel_Hourly_WT08,adversarial_training,attenuation,-0.0035316616437796712
121,Penmanshiel_Hourly_WT08,adversarial_training,drift,-0.0422257436705618
122,Penmanshiel_Hourly_WT08,adversarial_training,missing_data,0.000467374132457854
123,Penmanshiel_Hourly_WT08,adversarial_training,noise,-0.05575480779089741
124,Penmanshiel_Hourly_WT08,adversarial_training,spike,-0.031989953122919655
125,Penmanshiel_Hourly_WT08,adversarial_training,stuck_sensor,0.002330763030088301
126,Penmanshiel_Hourly_WT08,adversarial_training,time_compress,-0.0018966072716151139
127,Penmanshiel_Hourly_WT08,adversarial_training,time_stretch,0.0015436821917777176
128,Penmanshiel_Hourly_WT08,ensemble,attenuation,-0.0016788655410939323
129,Penmanshiel_Hourly_WT08,ensemble,drift,-0.02087475754999102
130,Penmanshiel_Hourly_WT08,ensemble,missing_data,0.0011821269819763725
131,Penmanshiel_Hourly_WT08,ensemble,noise,-0.021536543737192427
132,Penmanshiel_Hourly_WT08,ensemble,spike,-0.013384975774787033
133,Penmanshiel_Hourly_WT08,ensemble,stuck_sensor,0.0001944913071964649
134,Penmanshiel_Hourly_WT08,ensemble,time_compress,0.0003362329429811517
135,Penmanshiel_Hourly_WT08,ensemble,time_stretch,0.0007554664493523155
136,Penmanshiel_Hourly_WT08,fault_augmentation,attenuation,-0.0012703074679658144
137,Penmanshiel_Hourly_WT08,fault_augmentation,drift,-0.03165923917694315
138,Penmanshiel_Hourly_WT08,fault_augmentation,missing_data,-0.0011754068620386082
139,Penmanshiel_Hourly_WT08,fault_augmentation,noise,-0.016060186584711155
140,Penmanshiel_Hourly_WT08,fault_augmentation,spike,-0.005045070758303139
141,Penmanshiel_Hourly_WT08,fault_augmentation,stuck_sensor,-0.0017776552155324143
142,Penmanshiel_Hourly_WT08,fault_augmentation,time_compress,-0.00032243851895881194
143,Penmanshiel_Hourly_WT08,fault_augmentation,time_stretch,-0.000277955304995503
144,Penmanshiel_Hourly_WT08,randomized_smoothing,attenuation,0.0015157103117080962
145,Penmanshiel_Hourly_WT08,randomized_smoothing,drift,-0.001640790662799585
146,Penmanshiel_Hourly_WT08,randomized_smoothing,missing_data,-0.0008468310537528723
147,Penmanshiel_Hourly_WT08,randomized_smoothing,noise,-0.0036957863449810445
148,Penmanshiel_Hourly_WT08,randomized_smoothing,spike,-0.0012579286146014112
149,Penmanshiel_Hourly_WT08,randomized_smoothing,stuck_sensor,0.00034576308775733364
150,Penmanshiel_Hourly_WT08,randomized_smoothing,time_compress,-0.000515259377685795
151,Penmanshiel_Hourly_WT08,randomized_smoothing,time_stretch,-0.000489869480489924
152,Penmanshiel_Hourly_WT08,randomized_training,attenuation,-0.0032462427573126894
153,Penmanshiel_Hourly_WT08,randomized_training,drift,-0.03545091085000709
154,Penmanshiel_Hourly_WT08,randomized_training,missing_data,0.0012305006035540078
155,Penmanshiel_Hourly_WT08,randomized_training,noise,-0.034622488485559356
156,Penmanshiel_Hourly_WT08,randomized_training,spike,-0.02670423490673728
157,Penmanshiel_Hourly_WT08,randomized_training,stuck_sensor,0.0005092158094141208
158,Penmanshiel_Hourly_WT08,randomized_training,time_compress,0.0006052978560204369
159,Penmanshiel_Hourly_WT08,randomized_training,time_stretch,0.0008957809895726587
160,Penmanshiel_Hourly_WT08,revin,attenuation,0.019851678609673795
161,Penmanshiel_Hourly_WT08,revin,drift,0.06785427862548638
162,Penmanshiel_Hourly_WT08,revin,missing_data,0.0227610151425095
163,Penmanshiel_Hourly_WT08,revin,noise,-0.00570725035581926
164,Penmanshiel_Hourly_WT08,revin,spike,0.0011487099649666876
165,Penmanshiel_Hourly_WT08,revin,stuck_sensor,0.19395050885408066
166,Penmanshiel_Hourly_WT08,revin,time_compress,0.024497813859276796
167,Penmanshiel_Hourly_WT08,revin,time_stretch,0.02098942341755905
168,traffic,adaptive_robust_loss,attenuation,-0.023389808915446175
169,traffic,adaptive_robust_loss,drift,0.015847967231571003
170,traffic,adaptive_robust_loss,missing_data,-0.006612638178413688
171,traffic,adaptive_robust_loss,noise,0.014962348222950127
172,traffic,adaptive_robust_loss,spike,0.015397154576079375
173,traffic,adaptive_robust_loss,stuck_sensor,0.024380363168971853
174,traffic,adaptive_robust_loss,time_compress,0.007105102577853506
175,traffic,adaptive_robust_loss,time_stretch,-0.004449065103626681
176,traffic,adversarial_training,attenuation,0.00508839137271464
177,traffic,adversarial_training,drift,-0.007968974143927854
178,traffic,adversarial_training,missing_data,0.022610412669159575
179,traffic,adversarial_training,noise,-0.020908173813620222
180,traffic,adversarial_training,spike,-0.002333782217104741
181,traffic,adversarial_training,stuck_sensor,-0.007867798055111352
182,traffic,adversarial_training,time_compress,-0.0023453136050916256
183,traffic,adversarial_training,time_stretch,-0.0007941818159588277
184,traffic,ensemble,attenuation,0.005645616065558445
185,traffic,ensemble,drift,-0.009552903786312105
186,traffic,ensemble,missing_data,-0.01903865306839614
187,traffic,ensemble,noise,-0.012903528543417985
188,traffic,ensemble,spike,-0.00034189246252300796
189,traffic,ensemble,stuck_sensor,0.0012135675803343737
190,traffic,ensemble,time_compress,0.0028513234784033337
191,traffic,ensemble,time_stretch,0.0022198275113879617
192,traffic,fault_augmentation,attenuation,0.009378406378880233
193,traffic,fault_augmentation,drift,-0.013174552489703251
194,traffic,fault_augmentation,missing_data,-0.04684259059307623
195,traffic,fault_augmentation,noise,0.0036778334739048456
196,traffic,fault_augmentation,spike,-0.0010262913449499145
197,traffic,fault_augmentation,stuck_sensor,-0.022386930575277297
198,traffic,fault_augmentation,time_compress,-0.012967922655832353
199,traffic,fault_augmentation,time_stretch,-0.002866811372858624
200,traffic,randomized_smoothing,attenuation,0.002746826791322854
201,traffic,randomized_smoothing,drift,-0.004936563049859455
202,traffic,randomized_smoothing,missing_data,-0.021443453503616892
203,traffic,randomized_smoothing,noise,-0.008970169243749914
204,traffic,randomized_smoothing,spike,-0.00035561424615542235
205,traffic,randomized_smoothing,stuck_sensor,-0.018947862203103315
206,traffic,randomized_smoothing,time_compress,-0.007445100711341146
207,traffic,randomized_smoothing,time_stretch,-0.00886718398600519
208,traffic,randomized_training,attenuation,0.0033086420566409203
209,traffic,randomized_training,drift,-0.003574641378783294
210,traffic,randomized_training,missing_data,0.010856928494960626
211,traffic,randomized_training,noise,-0.011192388660683016
212,traffic,randomized_training,spike,-0.00209576267246967
213,traffic,randomized_training,stuck_sensor,-0.0006108823449923583
214,traffic,randomized_training,time_compress,-0.0007548057854496193
215,traffic,randomized_training,time_stretch,0.003987753353497459
216,traffic,revin,attenuation,0.043232697941887416
217,traffic,revin,drift,0.07614224613839626
218,traffic,revin,missing_data,0.23291483024252813
219,traffic,revin,noise,0.01346699303300175
220,traffic,revin,spike,0.005769925399528808
221,traffic,revin,stuck_sensor,0.3161755719419848
222,traffic,revin,time_compress,0.06667319169983393
223,traffic,revin,time_stretch,0.06345316709220356
