,dataset,robustness_method,pipeline_id,model_architecture,metric_name,delta_value
30,Penmanshiel_Hourly_WT08,randomized_training,rt_spaceraw_std0.1_channelscontinuous,ModernTCN,delta_err_clean,-0.0009645306391175557
31,Penmanshiel_Hourly_WT08,revin,revin_affineTrue_eps1e-5,GRU,delta_err_clean,0.000945279945720523
32,Penmanshiel_Hourly_WT08,revin,revin_affineTrue_eps1e-5,TSMixer,delta_err_clean,-0.005828534671349916
33,Penmanshiel_Hourly_WT08,revin,revin_affineFalse_eps1e-5,DLinear,delta_err_clean,0.0060091677716896386
34,traffic,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,ModernTCN,delta_err_clean,0.003922668683528863
35,traffic,randomized_smoothing,rs_backbonebaseline_std0.5_samples30_alpha0.25,GRU,delta_err_clean,-0.011134717240929626
36,traffic,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,PatchTST,delta_err_clean,0.059302049526572254
37,traffic,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,TSMixer,delta_err_clean,0.0025561180889606128
38,traffic,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,DLinear,delta_err_clean,0.00041025608181954887
39,traffic,ensemble,ensemble_top10_mean,ModernTCN,delta_err_clean,-0.003245624828338678
40,traffic,ensemble,ensemble_top3_mean,GRU,delta_err_clean,-0.022146742084622417
41,traffic,ensemble,ensemble_top3_mean,PatchTST,delta_err_clean,-0.007809181417524791
42,traffic,ensemble,ensemble_top10_mean,TSMixer,delta_err_clean,-0.049632974129915186
43,traffic,ensemble,ensemble_top5_mean,DLinear,delta_err_clean,-0.0016473246872424907
44,traffic,fault_augmentation,fa_profholdout_simple_mix0.75_sev0.75_frac0.25,GRU,delta_err_clean,-0.03209945266842851
45,traffic,fault_augmentation,fa_profholdout_varying_mix1.0_sev1.0_frac0.1,PatchTST,delta_err_clean,0.000685964864492461
46,traffic,fault_augmentation,fa_profholdout_varying_mix0.75_sev0.75_frac0.1,ModernTCN,delta_err_clean,0.019397081658244164
47,traffic,fault_augmentation,fa_profholdout_simple_mix1.0_sev0.75_frac0.1,TSMixer,delta_err_clean,-0.0518803264051676
48,traffic,fault_augmentation,fa_profholdout_varying_mix0.75_sev0.75_frac0.1,DLinear,delta_err_clean,0.00027524074316020997
49,traffic,randomized_training,rt_spaceraw_std0.3_channelscontinuous,GRU,delta_err_clean,-0.025510109034180717
50,traffic,adaptive_robust_loss,arl_alo0.001_ainit1.0_slo0.01_sinit1.0,PatchTST,delta_err_clean,0.08915550584644083
51,traffic,adaptive_robust_loss,arl_alo0.001_ainit1.0_slo1e-05_sinit0.1,ModernTCN,delta_err_clean,0.09344776589274406
52,traffic,adversarial_training,advtrain_eps0.05_steps5_alpha0.02_channelsall,PatchTST,delta_err_clean,-0.015702169558405865
53,traffic,adversarial_training,advtrain_eps0.1_steps5_alpha0.02_channelsall,ModernTCN,delta_err_clean,0.006373629975318873
54,traffic,adaptive_robust_loss,arl_alo0.001_ainit1.5_slo0.001_sinit0.1,GRU,delta_err_clean,0.04871514662206167
55,traffic,randomized_training,rt_spaceraw_std0.1_channelscontinuous,PatchTST,delta_err_clean,-0.0026826118633150875
56,traffic,adaptive_robust_loss,arl_alo0.001_ainit1.0_slo1e-05_sinit1.0,TSMixer,delta_err_clean,0.04009396711587909
57,traffic,adaptive_robust_loss,arl_alo0.001_ainit1.9_slo0.01_sinit0.1,DLinear,delta_err_clean,0.1032013822674751
58,traffic,adversarial_training,advtrain_eps0.2_steps7_alpha0.02_channelsall,GRU,delta_err_clean,-0.0300110821187497
59,traffic,adversarial_training,advtrain_eps0.05_steps7_alpha0.02_channelsall,TSMixer,delta_err_clean,-0.061209963914751975
60,traffic,adversarial_training,advtrain_eps0.05_steps3_alpha0.02_channelsall,DLinear,delta_err_clean,-0.0006023571759462554
61,traffic,randomized_training,rt_spaceraw_std0.1_channelscontinuous,TSMixer,delta_err_clean,-0.05418359325528144
62,traffic,randomized_training,rt_spaceraw_std0.1_channelscontinuous,DLinear,delta_err_clean,0.0005481495440006201
63,traffic,revin,revin_affineTrue_eps1e-5,ModernTCN,delta_err_clean,-0.05755800532400612
64,traffic,randomized_training,rt_spaceraw_std0.1_channelscontinuous,ModernTCN,delta_err_clean,0.04926636690795416
65,traffic,revin,revin_affineFalse_eps1e-5,GRU,delta_err_clean,-0.08797405438721184
66,traffic,revin,revin_affineFalse_eps1e-5,TSMixer,delta_err_clean,-0.10077510966956615
67,traffic,revin,revin_affineTrue_eps1e-5,DLinear,delta_err_clean,-0.007531134986877519
68,BeijingAir_Tiantan,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,ModernTCN,delta_err_clean,0.0073345866876537436
69,BeijingAir_Tiantan,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,GRU,delta_err_clean,0.0017876474108124984
70,BeijingAir_Tiantan,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,PatchTST,delta_err_clean,0.0002582500688629863
71,BeijingAir_Tiantan,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,TSMixer,delta_err_clean,-0.005141869697775137
72,BeijingAir_Tiantan,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,DLinear,delta_err_clean,0.0035823965232528177
73,BeijingAir_Tiantan,ensemble,ensemble_top5_mean,ModernTCN,delta_err_clean,-0.00464302722169091
74,BeijingAir_Tiantan,ensemble,ensemble_top3_mean,GRU,delta_err_clean,0.00863251960142808
75,BeijingAir_Tiantan,ensemble,ensemble_top3_mean,PatchTST,delta_err_clean,-0.006967908624977259
76,BeijingAir_Tiantan,ensemble,ensemble_top10_mean,TSMixer,delta_err_clean,-0.0407661635182594
77,BeijingAir_Tiantan,ensemble,ensemble_top10_mean,DLinear,delta_err_clean,-0.0019418236905272557
78,BeijingAir_Tiantan,fault_augmentation,fa_profholdout_varying_mix0.75_sev0.75_frac0.1,ModernTCN,delta_err_clean,0.005363705616519998
79,BeijingAir_Tiantan,fault_augmentation,fa_profholdout_varying_mix0.75_sev0.75_frac0.1,GRU,delta_err_clean,0.017771155902487235
80,BeijingAir_Tiantan,fault_augmentation,fa_profholdout_simple_mix0.75_sev0.75_frac0.25,PatchTST,delta_err_clean,-0.0044367444705581405
81,BeijingAir_Tiantan,fault_augmentation,fa_profholdout_varying_mix0.75_sev1.0_frac0.1,TSMixer,delta_err_clean,0.00014137966105187694
82,BeijingAir_Tiantan,fault_augmentation,fa_profholdout_simple_mix1.0_sev1.0_frac0.25,DLinear,delta_err_clean,0.004951417030754912
83,BeijingAir_Tiantan,adaptive_robust_loss,arl_alo0.001_ainit1.0_slo0.01_sinit0.1,PatchTST,delta_err_clean,-0.009153902286179072
84,BeijingAir_Tiantan,adaptive_robust_loss,arl_alo0.001_ainit1.0_slo0.01_sinit0.1,ModernTCN,delta_err_clean,-0.005623450970702104
85,BeijingAir_Tiantan,adaptive_robust_loss,arl_alo0.001_ainit1.0_slo1e-05_sinit0.1,GRU,delta_err_clean,0.06145163318409902
86,BeijingAir_Tiantan,adaptive_robust_loss,arl_alo0.001_ainit1.0_slo0.001_sinit0.1,TSMixer,delta_err_clean,-0.03938338294805144
87,BeijingAir_Tiantan,adaptive_robust_loss,arl_alo0.001_ainit1.9_slo0.001_sinit0.1,DLinear,delta_err_clean,-0.0005916152676975206
88,BeijingAir_Tiantan,adversarial_training,advtrain_eps0.1_steps3_alpha0.02_channelsall,PatchTST,delta_err_clean,0.003690593163506173
89,BeijingAir_Tiantan,randomized_training,rt_spaceraw_std0.1_channelscontinuous,PatchTST,delta_err_clean,0.0015899810030692851
90,BeijingAir_Tiantan,adversarial_training,advtrain_eps0.05_steps7_alpha0.02_channelsall,GRU,delta_err_clean,0.012325614771648508
91,BeijingAir_Tiantan,adversarial_training,advtrain_eps0.05_steps3_alpha0.02_channelsall,ModernTCN,delta_err_clean,0.018806157819990732
92,BeijingAir_Tiantan,adversarial_training,advtrain_eps0.1_steps3_alpha0.02_channelsall,TSMixer,delta_err_clean,-0.013010384856848412
93,BeijingAir_Tiantan,adversarial_training,advtrain_eps0.05_steps3_alpha0.02_channelsall,DLinear,delta_err_clean,-0.000583122584121909
94,BeijingAir_Tiantan,randomized_training,rt_spaceraw_std0.1_channelscontinuous,ModernTCN,delta_err_clean,0.004363720858457931
95,BeijingAir_Tiantan,randomized_training,rt_spaceraw_std0.1_channelscontinuous,GRU,delta_err_clean,0.015236464392719806
96,BeijingAir_Tiantan,randomized_training,rt_spaceraw_std0.1_channelscontinuous,TSMixer,delta_err_clean,0.10493252322485203
97,BeijingAir_Tiantan,randomized_training,rt_spaceraw_std0.1_channelscontinuous,DLinear,delta_err_clean,0.002507883992241111
98,BeijingAir_Tiantan,revin,revin_affineFalse_eps1e-5,ModernTCN,delta_err_clean,0.019441571539951796
99,BeijingAir_Tiantan,revin,revin_affineFalse_eps1e-5,GRU,delta_err_clean,0.02087389175646237
100,BeijingAir_Tiantan,revin,revin_affineFalse_eps1e-5,TSMixer,delta_err_clean,-0.025319164430722574
101,BeijingAir_Tiantan,revin,revin_affineFalse_eps1e-5,DLinear,delta_err_clean,0.005304487468735852
102,ETTh1,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,ModernTCN,delta_err_clean,0.00027421393990517684
103,ETTh1,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,GRU,delta_err_clean,0.0005797123044729569
104,ETTh1,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,PatchTST,delta_err_clean,-0.001006918497383602
105,ETTh1,randomized_smoothing,rs_backbonebaseline_std0.5_samples30_alpha0.25,TSMixer,delta_err_clean,-0.004243239676952393
106,ETTh1,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,DLinear,delta_err_clean,0.0004106648519635048
107,ETTh1,ensemble,ensemble_top3_mean,ModernTCN,delta_err_clean,-0.0042464267179369575
108,ETTh1,ensemble,ensemble_top5_mean,GRU,delta_err_clean,-0.009654459944367422
109,ETTh1,ensemble,ensemble_top10_mean,PatchTST,delta_err_clean,-0.004448848718404785
110,ETTh1,ensemble,ensemble_top5_mean,TSMixer,delta_err_clean,-0.005964989000558862
111,ETTh1,ensemble,ensemble_top5_mean,DLinear,delta_err_clean,0.0016437614426016434
112,ETTh1,fault_augmentation,fa_profholdout_varying_mix0.75_sev0.75_frac0.1,ModernTCN,delta_err_clean,0.002315133160352756
113,ETTh1,fault_augmentation,fa_profholdout_simple_mix1.0_sev0.75_frac0.1,GRU,delta_err_clean,0.01563003509044647
114,ETTh1,fault_augmentation,fa_profholdout_simple_mix0.75_sev0.75_frac0.25,PatchTST,delta_err_clean,-0.00308616634458303
115,ETTh1,fault_augmentation,fa_profholdout_varying_mix0.75_sev0.75_frac0.1,TSMixer,delta_err_clean,0.0011070052534341568
116,ETTh1,fault_augmentation,fa_profholdout_simple_mix0.75_sev1.0_frac0.25,DLinear,delta_err_clean,-0.0005650954097509708
117,ETTh1,adaptive_robust_loss,arl_alo0.001_ainit1.0_slo1e-05_sinit0.1,PatchTST,delta_err_clean,0.00947070641070602
118,ETTh1,adaptive_robust_loss,arl_alo0.25_ainit1.0_slo1e-05_sinit1.0,ModernTCN,delta_err_clean,0.05043749796599151
119,ETTh1,adaptive_robust_loss,arl_alo0.5_ainit1.0_slo0.01_sinit1.0,GRU,delta_err_clean,0.09304270173907281
120,ETTh1,adaptive_robust_loss,arl_alo0.001_ainit1.0_slo0.001_sinit0.1,TSMixer,delta_err_clean,-0.001408759517967706
121,ETTh1,adaptive_robust_loss,arl_alo0.001_ainit1.0_slo1e-05_sinit0.1,DLinear,delta_err_clean,0.012416890357434707
122,ETTh1,adversarial_training,advtrain_eps0.05_steps7_alpha0.02_channelsall,ModernTCN,delta_err_clean,0.0026538590922952077
123,ETTh1,randomized_training,rt_spaceraw_std0.1_channelscontinuous,ModernTCN,delta_err_clean,0.0021266595140099764
124,ETTh1,adversarial_training,advtrain_eps0.05_steps7_alpha0.02_channelsall,GRU,delta_err_clean,-0.031391495925188084
125,ETTh1,randomized_training,rt_spaceraw_std0.2_channelscontinuous,GRU,delta_err_clean,0.0312960954159498
126,ETTh1,adversarial_training,advtrain_eps0.1_steps5_alpha0.02_channelsall,PatchTST,delta_err_clean,0.005047308303415765
127,ETTh1,randomized_training,rt_spaceraw_std0.1_channelscontinuous,PatchTST,delta_err_clean,0.010993025074899188
128,ETTh1,adversarial_training,advtrain_eps0.05_steps7_alpha0.02_channelsall,TSMixer,delta_err_clean,-0.00669186906963587
129,ETTh1,randomized_training,rt_spaceraw_std0.1_channelscontinuous,TSMixer,delta_err_clean,-0.0010805415779352456
130,ETTh1,adversarial_training,advtrain_eps0.2_steps7_alpha0.02_channelsall,DLinear,delta_err_clean,0.0032362136781215467
131,ETTh1,randomized_training,rt_spaceraw_std0.2_channelscontinuous,DLinear,delta_err_clean,0.0032307899415492947
132,ETTh1,revin,revin_affineTrue_eps1e-5,ModernTCN,delta_err_clean,-0.01760489232391116
133,ETTh1,revin,revin_affineTrue_eps1e-5,GRU,delta_err_clean,-0.1407426479548216
134,ETTh1,revin,revin_affineFalse_eps1e-5,TSMixer,delta_err_clean,-0.032390597900748275
135,ETTh1,revin,revin_affineTrue_eps1e-5,DLinear,delta_err_clean,0.009832121467590327
136,Penmanshiel_Hourly_WT08,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,ModernTCN,D_w,-0.0017130804823670687
137,Penmanshiel_Hourly_WT08,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.35,GRU,D_w,6.799798007928182e-05
138,Penmanshiel_Hourly_WT08,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,PatchTST,D_w,0.0029401834191720155
139,Penmanshiel_Hourly_WT08,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,TSMixer,D_w,-0.006091810964136357
140,Penmanshiel_Hourly_WT08,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.45,DLinear,D_w,-0.0033940653365152063
141,Penmanshiel_Hourly_WT08,ensemble,ensemble_top7_mean,ModernTCN,D_w,-0.005760303318854021
142,Penmanshiel_Hourly_WT08,ensemble,ensemble_top10_mean,GRU,D_w,0.0013314526799299564
143,Penmanshiel_Hourly_WT08,ensemble,ensemble_top7_mean,PatchTST,D_w,0.018260456297030103
144,Penmanshiel_Hourly_WT08,ensemble,ensemble_top10_mean,TSMixer,D_w,-0.11673690746109222
145,Penmanshiel_Hourly_WT08,ensemble,ensemble_top10_mean,DLinear,D_w,-0.013720386052390898
146,Penmanshiel_Hourly_WT08,fault_augmentation,fa_profholdout_simple_mix0.75_sev1.0_frac0.1,ModernTCN,D_w,-0.017910546120469384
147,Penmanshiel_Hourly_WT08,fault_augmentation,fa_profholdout_varying_mix0.75_sev0.75_frac0.1,GRU,D_w,0.0016807801736840045
148,Penmanshiel_Hourly_WT08,fault_augmentation,fa_profholdout_simple_mix1.0_sev1.0_frac0.1,PatchTST,D_w,0.019429733879822386
149,Penmanshiel_Hourly_WT08,fault_augmentation,fa_profholdout_simple_mix0.75_sev0.75_frac0.1,TSMixer,D_w,-0.09155250936710346
150,Penmanshiel_Hourly_WT08,fault_augmentation,fa_profholdout_simple_mix0.75_sev1.0_frac0.1,DLinear,D_w,-0.004684336392545507
151,Penmanshiel_Hourly_WT08,adversarial_training,advtrain_eps0.05_steps3_alpha0.02_channelsall,GRU,D_w,-0.026532349832708135
152,Penmanshiel_Hourly_WT08,adaptive_robust_loss,arl_alo0.001_ainit1.0_slo1e-05_sinit0.1,PatchTST,D_w,0.5697330628728936
153,Penmanshiel_Hourly_WT08,adaptive_robust_loss,arl_alo0.5_ainit1.0_slo0.01_sinit1.0,ModernTCN,D_w,0.06977016819439008
154,Penmanshiel_Hourly_WT08,adaptive_robust_loss,arl_alo0.001_ainit1.9_slo0.001_sinit1.0,GRU,D_w,0.06576058905337878
155,Penmanshiel_Hourly_WT08,adaptive_robust_loss,arl_alo0.001_ainit1.0_slo0.001_sinit0.1,TSMixer,D_w,-0.08912973689855086
156,Penmanshiel_Hourly_WT08,adaptive_robust_loss,arl_alo0.001_ainit1.0_slo0.001_sinit0.1,DLinear,D_w,0.10181818373386031
157,Penmanshiel_Hourly_WT08,adversarial_training,advtrain_eps0.05_steps7_alpha0.02_channelsall,PatchTST,D_w,-0.00024256517467446947
158,Penmanshiel_Hourly_WT08,randomized_training,rt_spaceraw_std0.1_channelscontinuous,PatchTST,D_w,0.001754622005717188
159,Penmanshiel_Hourly_WT08,adversarial_training,advtrain_eps0.2_steps3_alpha0.02_channelsall,ModernTCN,D_w,-0.08242684418789059
160,Penmanshiel_Hourly_WT08,adversarial_training,advtrain_eps0.1_steps3_alpha0.02_channelsall,TSMixer,D_w,-0.14602613731574676
161,Penmanshiel_Hourly_WT08,adversarial_training,advtrain_eps0.05_steps7_alpha0.02_channelsall,DLinear,D_w,-0.03747677175194064
162,Penmanshiel_Hourly_WT08,randomized_training,rt_spaceraw_std0.2_channelscontinuous,GRU,D_w,-0.005544217691116016
163,Penmanshiel_Hourly_WT08,randomized_training,rt_spaceraw_std0.1_channelscontinuous,TSMixer,D_w,-0.07381180464409631
164,Penmanshiel_Hourly_WT08,randomized_training,rt_spaceraw_std0.1_channelscontinuous,DLinear,D_w,-0.04776128852016148
165,Penmanshiel_Hourly_WT08,revin,revin_affineFalse_eps1e-5,ModernTCN,D_w,0.03220787620707943
166,Penmanshiel_Hourly_WT08,randomized_training,rt_spaceraw_std0.1_channelscontinuous,ModernTCN,D_w,-0.05406930221902617
167,Penmanshiel_Hourly_WT08,revin,revin_affineTrue_eps1e-5,GRU,D_w,0.3811180774245002
168,Penmanshiel_Hourly_WT08,revin,revin_affineTrue_eps1e-5,TSMixer,D_w,0.026544633692644037
169,Penmanshiel_Hourly_WT08,revin,revin_affineFalse_eps1e-5,DLinear,D_w,0.00039813476357242195
170,traffic,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,ModernTCN,D_w,-0.0005536341634744257
171,traffic,randomized_smoothing,rs_backbonebaseline_std0.5_samples30_alpha0.25,GRU,D_w,-4.008849959391547e-05
172,traffic,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,PatchTST,D_w,-0.10420081390300195
173,traffic,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,TSMixer,D_w,-0.002319850473160301
174,traffic,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,DLinear,D_w,-0.00010288047885387286
175,traffic,ensemble,ensemble_top10_mean,ModernTCN,D_w,-0.009145083835152779
176,traffic,ensemble,ensemble_top3_mean,GRU,D_w,-0.097044417619361
177,traffic,ensemble,ensemble_top3_mean,PatchTST,D_w,0.033229027507829745
178,traffic,ensemble,ensemble_top10_mean,TSMixer,D_w,-0.020700151352621265
179,traffic,ensemble,ensemble_top5_mean,DLinear,D_w,-0.0015326400426753928
180,traffic,fault_augmentation,fa_profholdout_simple_mix0.75_sev0.75_frac0.25,GRU,D_w,0.0403611498835752
181,traffic,fault_augmentation,fa_profholdout_varying_mix1.0_sev1.0_frac0.1,PatchTST,D_w,-0.17350052827828955
182,traffic,fault_augmentation,fa_profholdout_varying_mix0.75_sev0.75_frac0.1,ModernTCN,D_w,-0.020666548978258925
183,traffic,fault_augmentation,fa_profholdout_simple_mix1.0_sev0.75_frac0.1,TSMixer,D_w,0.029913495420386127
184,traffic,fault_augmentation,fa_profholdout_varying_mix0.75_sev0.75_frac0.1,DLinear,D_w,-0.000811384663680581
185,traffic,randomized_training,rt_spaceraw_std0.3_channelscontinuous,GRU,D_w,0.030087310803996292
186,traffic,adaptive_robust_loss,arl_alo0.001_ainit1.0_slo0.01_sinit1.0,PatchTST,D_w,-0.08714283585130822
187,traffic,adaptive_robust_loss,arl_alo0.001_ainit1.0_slo1e-05_sinit0.1,ModernTCN,D_w,-0.027603251646868054
188,traffic,adversarial_training,advtrain_eps0.05_steps5_alpha0.02_channelsall,PatchTST,D_w,0.06334485834542813
189,traffic,adversarial_training,advtrain_eps0.1_steps5_alpha0.02_channelsall,ModernTCN,D_w,-0.028609124541091324
190,traffic,adaptive_robust_loss,arl_alo0.001_ainit1.5_slo0.001_sinit0.1,GRU,D_w,-0.049961036513844315
191,traffic,randomized_training,rt_spaceraw_std0.1_channelscontinuous,PatchTST,D_w,0.03205431892575539
192,traffic,adaptive_robust_loss,arl_alo0.001_ainit1.0_slo1e-05_sinit1.0,TSMixer,D_w,0.030673155014707243
193,traffic,adaptive_robust_loss,arl_alo0.001_ainit1.9_slo0.01_sinit0.1,DLinear,D_w,0.10097077810524491
194,traffic,adversarial_training,advtrain_eps0.2_steps7_alpha0.02_channelsall,GRU,D_w,-0.003124146790166149
195,traffic,adversarial_training,advtrain_eps0.05_steps7_alpha0.02_channelsall,TSMixer,D_w,0.08332309378957636
196,traffic,adversarial_training,advtrain_eps0.05_steps3_alpha0.02_channelsall,DLinear,D_w,-0.001882617457949154
197,traffic,randomized_training,rt_spaceraw_std0.1_channelscontinuous,TSMixer,D_w,0.03968503307957638
198,traffic,randomized_training,rt_spaceraw_std0.1_channelscontinuous,DLinear,D_w,-0.0017172874067441501
199,traffic,revin,revin_affineTrue_eps1e-5,ModernTCN,D_w,0.3383629664010559
200,traffic,randomized_training,rt_spaceraw_std0.1_channelscontinuous,ModernTCN,D_w,-0.045824732927780776
201,traffic,revin,revin_affineFalse_eps1e-5,GRU,D_w,0.24738660157301617
202,traffic,revin,revin_affineFalse_eps1e-5,TSMixer,D_w,0.3464943769625435
203,traffic,revin,revin_affineTrue_eps1e-5,DLinear,D_w,0.13470323885842195
204,BeijingAir_Tiantan,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,ModernTCN,D_w,-0.009458436375301194
205,BeijingAir_Tiantan,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,GRU,D_w,0.0002619852376246623
206,BeijingAir_Tiantan,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,PatchTST,D_w,0.006307753291738605
207,BeijingAir_Tiantan,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,TSMixer,D_w,0.007918985473962525
208,BeijingAir_Tiantan,randomized_smoothing,rs_backbonebaseline_std0.25_samples30_alpha0.25,DLinear,D_w,-0.0004327812466060621
209,BeijingAir_Tiantan,ensemble,ensemble_top5_mean,ModernTCN,D_w,0.016160881891481793
210,BeijingAir_Tiantan,ensemble,ensemble_top3_mean,GRU,D_w,0.008299824511878606
211,BeijingAir_Tiantan,ensemble,ensemble_top3_mean,PatchTST,D_w,-0.0077801119784468575
212,BeijingAir_Tiantan,ensemble,ensemble_top10_mean,TSMixer,D_w,0.03968477429347517
213,BeijingAir_Tiantan,ensemble,ensemble_top10_mean,DLinear,D_w,-0.01926072665103873
214,BeijingAir_Tiantan,fault_augmentation,fa_profholdout_varying_mix0.75_sev0.75_frac0.1,ModernTCN,D_w,-0.01931431288406249
215,BeijingAir_Tiantan,fault_augmentation,fa_profholdout_varying_mix0.75_sev0.75_frac0.1,GRU,D_w,0.00866886540210765
