,dataset,robustness_method,scenario,delta_err_pert
62,ETTh1,adaptive_robust_loss,time_compress,0.023408420576155164
63,ETTh1,adaptive_robust_loss,time_stretch,0.025521283309459675
64,ETTh1,adversarial_training,attenuation,-0.002936918326914306
65,ETTh1,adversarial_training,drift,-0.008657159831523886
66,ETTh1,adversarial_training,missing_data,-0.0009758437020331411
67,ETTh1,adversarial_training,noise,-0.012813812612593201
68,ETTh1,adversarial_training,spike,-0.013114143632948416
69,ETTh1,adversarial_training,stuck_sensor,-0.006080857954174323
70,ETTh1,adversarial_training,time_compress,-0.007440723933279547
71,ETTh1,adversarial_training,time_stretch,-0.005479757259488116
72,ETTh1,ensemble,attenuation,-0.004636707667410378
73,ETTh1,ensemble,drift,-0.008559607606530184
74,ETTh1,ensemble,missing_data,-0.00519782178334891
75,ETTh1,ensemble,noise,-0.007489068475067628
76,ETTh1,ensemble,spike,-0.009952654042840015
77,ETTh1,ensemble,stuck_sensor,-0.008026086106002328
78,ETTh1,ensemble,time_compress,-0.006328374763131162
79,ETTh1,ensemble,time_stretch,-0.005200659913122641
80,ETTh1,fault_augmentation,attenuation,0.0019878436750173645
81,ETTh1,fault_augmentation,drift,-0.003528150565326216
82,ETTh1,fault_augmentation,missing_data,0.005792423931360258
83,ETTh1,fault_augmentation,noise,0.002148612862825383
84,ETTh1,fault_augmentation,spike,-0.00016454079180957537
85,ETTh1,fault_augmentation,stuck_sensor,0.0011432613559066774
86,ETTh1,fault_augmentation,time_compress,0.003933240814059968
87,ETTh1,fault_augmentation,time_stretch,0.003726310236454022
88,ETTh1,randomized_smoothing,attenuation,-0.0006637621912360392
89,ETTh1,randomized_smoothing,drift,0.0028538313379883997
90,ETTh1,randomized_smoothing,missing_data,-0.000727282764911652
91,ETTh1,randomized_smoothing,noise,0.0003599150869250223
92,ETTh1,randomized_smoothing,spike,-0.0010293930062651557
93,ETTh1,randomized_smoothing,stuck_sensor,-0.0011678804515302455
94,ETTh1,randomized_smoothing,time_compress,-0.00016620824515822807
95,ETTh1,randomized_smoothing,time_stretch,-0.0006632254976034257
96,ETTh1,randomized_training,attenuation,0.008376462663710116
97,ETTh1,randomized_training,drift,0.006457473739683639
98,ETTh1,randomized_training,missing_data,0.01134350123926997
99,ETTh1,randomized_training,noise,0.004160058388709998
100,ETTh1,randomized_training,spike,0.009387180673778061
101,ETTh1,randomized_training,stuck_sensor,0.008025724090635733
102,ETTh1,randomized_training,time_compress,0.01298758724123238
103,ETTh1,randomized_training,time_stretch,0.009773890567421917
104,ETTh1,revin,attenuation,-0.0414759569723159
105,ETTh1,revin,drift,-0.00027726125009361335
106,ETTh1,revin,missing_data,-0.017955656534526493
107,ETTh1,revin,noise,-0.042516514874994776
108,ETTh1,revin,spike,-0.04348105270303784
109,ETTh1,revin,stuck_sensor,0.013926604175567597
110,ETTh1,revin,time_compress,-0.03626503707878295
111,ETTh1,revin,time_stretch,-0.03627450892552732
112,Penmanshiel_Hourly_WT08,adaptive_robust_loss,attenuation,0.03485479171760991
113,Penmanshiel_Hourly_WT08,adaptive_robust_loss,drift,0.030073692249371377
114,Penmanshiel_Hourly_WT08,adaptive_robust_loss,missing_data,0.04174927583316614
115,Penmanshiel_Hourly_WT08,adaptive_robust_loss,noise,0.06645116507003522
116,Penmanshiel_Hourly_WT08,adaptive_robust_loss,spike,0.09744764613714096
117,Penmanshiel_Hourly_WT08,adaptive_robust_loss,stuck_sensor,0.04082963342378263
118,Penmanshiel_Hourly_WT08,adaptive_robust_loss,time_compress,0.04026610069417512
119,Penmanshiel_Hourly_WT08,adaptive_robust_loss,time_stretch,0.03996012112710624
120,Penmanshiel_Hourly_WT08,adversarial_training,attenuation,-0.007159905722607507
121,Penmanshiel_Hourly_WT08,adversarial_training,drift,-0.020837130698180117
122,Penmanshiel_Hourly_WT08,adversarial_training,missing_data,-0.005466143372797527
123,Penmanshiel_Hourly_WT08,adversarial_training,noise,-0.025428473605929758
124,Penmanshiel_Hourly_WT08,adversarial_training,spike,-0.01711065107158736
125,Penmanshiel_Hourly_WT08,adversarial_training,stuck_sensor,-0.004903540147770058
126,Penmanshiel_Hourly_WT08,adversarial_training,time_compress,-0.006136396488288587
127,Penmanshiel_Hourly_WT08,adversarial_training,time_stretch,-0.004997134365106781
128,Penmanshiel_Hourly_WT08,ensemble,attenuation,-0.007938067601346988
129,Penmanshiel_Hourly_WT08,ensemble,drift,-0.014982907547666402
130,Penmanshiel_Hourly_WT08,ensemble,missing_data,-0.006478184613424198
131,Penmanshiel_Hourly_WT08,ensemble,noise,-0.015244886996935814
132,Penmanshiel_Hourly_WT08,ensemble,spike,-0.012130299414045165
133,Penmanshiel_Hourly_WT08,ensemble,stuck_sensor,-0.006972774192876141
134,Penmanshiel_Hourly_WT08,ensemble,time_compress,-0.006592695537629178
135,Penmanshiel_Hourly_WT08,ensemble,time_stretch,-0.00649285924134777
136,Penmanshiel_Hourly_WT08,fault_augmentation,attenuation,-0.001574194585456845
137,Penmanshiel_Hourly_WT08,fault_augmentation,drift,-0.012352767409757081
138,Penmanshiel_Hourly_WT08,fault_augmentation,missing_data,-0.0014253525185736414
139,Penmanshiel_Hourly_WT08,fault_augmentation,noise,-0.006825737343842342
140,Penmanshiel_Hourly_WT08,fault_augmentation,spike,-0.0029872851859949812
141,Penmanshiel_Hourly_WT08,fault_augmentation,stuck_sensor,-0.0016920959865536988
142,Penmanshiel_Hourly_WT08,fault_augmentation,time_compress,-0.0010964777733519337
143,Penmanshiel_Hourly_WT08,fault_augmentation,time_stretch,-0.001094758476332347
144,Penmanshiel_Hourly_WT08,randomized_smoothing,attenuation,0.0035117231320044074
145,Penmanshiel_Hourly_WT08,randomized_smoothing,drift,0.0026560947548050938
146,Penmanshiel_Hourly_WT08,randomized_smoothing,missing_data,0.0024683362811285803
147,Penmanshiel_Hourly_WT08,randomized_smoothing,noise,0.0020365086154689018
148,Penmanshiel_Hourly_WT08,randomized_smoothing,spike,0.0026758563004137146
149,Penmanshiel_Hourly_WT08,randomized_smoothing,stuck_sensor,0.00294465927962253
150,Penmanshiel_Hourly_WT08,randomized_smoothing,time_compress,0.0025271646592353036
151,Penmanshiel_Hourly_WT08,randomized_smoothing,time_stretch,0.0025510484225538476
152,Penmanshiel_Hourly_WT08,randomized_training,attenuation,-0.004391678922738063
153,Penmanshiel_Hourly_WT08,randomized_training,drift,-0.015808435923494978
154,Penmanshiel_Hourly_WT08,randomized_training,missing_data,-0.0026877064914681338
155,Penmanshiel_Hourly_WT08,randomized_training,noise,-0.01518315531874076
156,Penmanshiel_Hourly_WT08,randomized_training,spike,-0.01243923310938817
157,Penmanshiel_Hourly_WT08,randomized_training,stuck_sensor,-0.0029595282076222418
158,Penmanshiel_Hourly_WT08,randomized_training,time_compress,-0.002809482232844751
159,Penmanshiel_Hourly_WT08,randomized_training,time_stretch,-0.002729289837841076
160,Penmanshiel_Hourly_WT08,revin,attenuation,0.005929522219066105
161,Penmanshiel_Hourly_WT08,revin,drift,0.022075808400816507
162,Penmanshiel_Hourly_WT08,revin,missing_data,0.00695651024399159
163,Penmanshiel_Hourly_WT08,revin,noise,-0.0031562725322775848
164,Penmanshiel_Hourly_WT08,revin,spike,-0.0006483483564456993
165,Penmanshiel_Hourly_WT08,revin,stuck_sensor,0.06610856559643177
166,Penmanshiel_Hourly_WT08,revin,time_compress,0.0076110993885293715
167,Penmanshiel_Hourly_WT08,revin,time_stretch,0.006405331847906287
168,traffic,adaptive_robust_loss,attenuation,0.06591966471344232
169,traffic,adaptive_robust_loss,drift,0.09369197096288204
170,traffic,adaptive_robust_loss,missing_data,0.09982955699294804
171,traffic,adaptive_robust_loss,noise,0.0932517017507553
172,traffic,adaptive_robust_loss,spike,0.08751407006800174
173,traffic,adaptive_robust_loss,stuck_sensor,0.11500852767139673
174,traffic,adaptive_robust_loss,time_compress,0.09159845544487237
175,traffic,adaptive_robust_loss,time_stretch,0.08438676050752399
176,traffic,adversarial_training,attenuation,-0.01854311652749776
177,traffic,adversarial_training,drift,-0.02642835250556468
178,traffic,adversarial_training,missing_data,-0.016277525106668467
179,traffic,adversarial_training,noise,-0.030984329395592224
180,traffic,adversarial_training,spike,-0.02195667238742114
181,traffic,adversarial_training,stuck_sensor,-0.032155487644672395
182,traffic,adversarial_training,time_compress,-0.025281609977185714
183,traffic,adversarial_training,time_stretch,-0.02408402987778191
184,traffic,ensemble,attenuation,-0.014892009494602676
185,traffic,ensemble,drift,-0.02364961459070445
186,traffic,ensemble,missing_data,-0.03668469036728141
187,traffic,ensemble,noise,-0.02334978344678875
188,traffic,ensemble,spike,-0.017413139357566842
189,traffic,ensemble,stuck_sensor,-0.02103820690989493
190,traffic,ensemble,time_compress,-0.017814570657908924
191,traffic,ensemble,time_stretch,-0.01759717421680689
192,traffic,fault_augmentation,attenuation,-0.007489464739859075
193,traffic,fault_augmentation,drift,-0.021552533955872068
194,traffic,fault_augmentation,missing_data,-0.03559020483672617
195,traffic,fault_augmentation,noise,-0.011323363239765172
196,traffic,fault_augmentation,spike,-0.013551454377174388
197,traffic,fault_augmentation,stuck_sensor,-0.024893913191854945
198,traffic,fault_augmentation,time_compress,-0.019349975292682654
199,traffic,fault_augmentation,time_stretch,-0.014223967266082794
200,traffic,randomized_smoothing,attenuation,0.01481137344300747
201,traffic,randomized_smoothing,drift,0.010367391617596144
202,traffic,randomized_smoothing,missing_data,0.00772074692428113
203,traffic,randomized_smoothing,noise,0.008934634591341006
204,traffic,randomized_smoothing,spike,0.011048363751471012
205,traffic,randomized_smoothing,stuck_sensor,0.00895653317570686
206,traffic,randomized_smoothing,time_compress,0.010803812680542446
207,traffic,randomized_smoothing,time_stretch,0.009882953641712633
208,traffic,randomized_training,attenuation,-0.004900426310896866
209,traffic,randomized_training,drift,-0.00946745473504067
210,traffic,randomized_training,missing_data,-0.003106634826064125
211,traffic,randomized_training,noise,-0.012515476889014244
212,traffic,randomized_training,spike,-0.008005631475150621
213,traffic,randomized_training,stuck_sensor,-0.009437703469991666
214,traffic,randomized_training,time_compress,-0.008062674815058735
215,traffic,randomized_training,time_stretch,-0.005153934690058248
216,traffic,revin,attenuation,-0.04183440883606673
217,traffic,revin,drift,-0.022176638520508996
218,traffic,revin,missing_data,0.0509365695949644
219,traffic,revin,noise,-0.05667234795354309
220,traffic,revin,spike,-0.06092233635485175
221,traffic,revin,stuck_sensor,0.10545578483417634
222,traffic,revin,time_compress,-0.03264513526260854
223,traffic,revin,time_stretch,-0.033812706237286355
