dataset_order,dataset,dataset_label,backbone_order,backbone,backbone_label,architecture_family,data_config_signature,baseline_run_id,baseline_pipeline_id,baseline_MSE_c,baseline_D_w,baseline_MSE_w,baseline_D_mean,baseline_MSE_mean_fault_time,baseline_worst_scenario,improvement_method,improvement_method_label,improvement_run_id,improvement_pipeline_id,improvement_MSE_c,improvement_D_w,improvement_MSE_w,improvement_D_mean,improvement_MSE_mean_fault_time,improvement_worst_scenario,delta_MSE_c,delta_D_w,delta_MSE_w,delta_D_mean,delta_MSE_mean_fault_time,selection_pool
3,ETTh1,ETTh1,2,DLinear,DLinear,Fully Connected,4a82efae1ffe76a156a2bf948861e2da349ef1c1c994d9f24654525f47fbf14d,2c53c17080c14c5aaa939b6c45fbe0a3,baseline,0.4378714672148228,1.2507785894272812,0.54768025611341,1.1190162857687238,0.4899853028868325,stuck_sensor,adversarial_training,PGD adversarial training,4b669487f4b1446391128ae461663617,advtrain_eps0.2_steps7_alpha0.02_channelsall,0.4411076808929443,1.2525031244560707,0.5524887485399842,1.116355458002533,0.492432967131678,stuck_sensor,0.0032362136781215,0.0017245350287895,0.0048084924265742,-0.0026608277661908,0.0024476642448454,winner_pool
3,ETTh1,ETTh1,3,GRU,GRU,Recurrent,4a82efae1ffe76a156a2bf948861e2da349ef1c1c994d9f24654525f47fbf14d,36598a0f6b774ca4a4d3b82906b8927d,baseline,0.6644111780494452,1.0641139824735013,0.7070092246741057,1.0214849084432376,0.678685991378501,missing_data,adversarial_training,PGD adversarial training,eff89d0c19a546478b307cc373bb00fd,advtrain_eps0.05_steps7_alpha0.02_channelsall,0.6330196821242571,1.0678196133760944,0.6759508322253823,1.0213112866913474,0.6465101460512728,missing_data,-0.031391495925188,0.0037056309025931,-0.0310583924487233,-0.0001736217518901,-0.0321758453272282,winner_pool
3,ETTh1,ETTh1,4,ModernTCN,ModernTCN,Convolution,4a82efae1ffe76a156a2bf948861e2da349ef1c1c994d9f24654525f47fbf14d,920f0d5691bd441c95bac6953be76afe,baseline,0.4618371743693947,1.215928962419653,0.5615611962378025,1.1137774243406833,0.5143838185339235,stuck_sensor,adversarial_training,PGD adversarial training,e4c78d78efed4ebcbe7500c0233cc7bf,advtrain_eps0.05_steps7_alpha0.02_channelsall,0.4644910334616899,1.215456066423641,0.5645684444203973,1.1099473671084517,0.5155605996362864,stuck_sensor,0.0026538590922952,-0.0004728959960123,0.0030072481825947,-0.0038300572322316,0.0011767811023629,winner_pool
3,ETTh1,ETTh1,5,TSMixer,TSMixer,Fully Connected,4a82efae1ffe76a156a2bf948861e2da349ef1c1c994d9f24654525f47fbf14d,2d589960c4334ac5adff37c302ad60ee,baseline,0.4748584107920527,1.1688347780184012,0.5550310251682997,1.0933093031709502,0.519167118207924,stuck_sensor,adversarial_training,PGD adversarial training,18107c26dc5d463bbd33a63c93bc01fb,advtrain_eps0.05_steps7_alpha0.02_channelsall,0.4681665417224169,1.1705050770052707,0.5479913139700889,1.0854273501838336,0.5081607688264921,stuck_sensor,-0.0066918690696358,0.0016702989868695,-0.0070397111982107,-0.0078819529871165,-0.0110063493814319,winner_pool
3,ETTh1,ETTh1,6,PatchTST,PatchTST,Attention,4a82efae1ffe76a156a2bf948861e2da349ef1c1c994d9f24654525f47fbf14d,519b468e69dd465daa969d3d9b3ffdf0,baseline,0.4312626197248697,1.3121988937420432,0.5659023325152696,1.162725447863271,0.5014400226662867,stuck_sensor,adversarial_training,PGD adversarial training,445bf0933531400cbc4a605c7969ba70,advtrain_eps0.1_steps5_alpha0.02_channelsall,0.4363099280282855,1.3060750973975848,0.5698535317450761,1.157573387172384,0.5050607612446416,stuck_sensor,0.0050473083034157,-0.0061237963444584,0.0039511992298065,-0.0051520606908868,0.0036207385783548,winner_pool
4,traffic,Traffic,2,DLinear,DLinear,Fully Connected,41f9af6ab1b86f6fe5ef4323c149934cbaf2f1c6c4b6bb60ffda29c7857cf618,8a356407910a4d0fbf91309723d1cc26,baseline,0.6844583657115698,1.177012938993062,0.8056163526445628,1.081284797759741,0.7400944255433977,missing_data,adversarial_training,PGD adversarial training,40d70a9aa5c34a129054818eddca46bc,advtrain_eps0.05_steps3_alpha0.02_channelsall,0.6838560085356236,1.1751303215351128,0.8036199311941862,1.0804435824560628,0.738867835746333,missing_data,-0.0006023571759462,-0.0018826174579491,-0.0019964214503765,-0.0008412153036783,-0.0012265897970646,winner_pool
4,traffic,Traffic,3,GRU,GRU,Recurrent,41f9af6ab1b86f6fe5ef4323c149934cbaf2f1c6c4b6bb60ffda29c7857cf618,130478b6c656458bac702a6d267e7918,baseline,0.7261284965008498,1.2838151072418158,0.9322147336065768,1.0707892546119862,0.7775305915206671,missing_data,adversarial_training,PGD adversarial training,a0e8984d69dd41dfb12d40a94b1d7126,advtrain_eps0.2_steps7_alpha0.02_channelsall,0.6961174143821001,1.2806909604516497,0.8915112800121308,1.0597249861471836,0.7376930173128844,missing_data,-0.0300110821187497,-0.0031241467901661,-0.0407034535944461,-0.0110642684648025,-0.0398375742077826,winner_pool
4,traffic,Traffic,4,ModernTCN,ModernTCN,Convolution,41f9af6ab1b86f6fe5ef4323c149934cbaf2f1c6c4b6bb60ffda29c7857cf618,a0a6f9b2a8754ae0aaf937850b4287bf,baseline,0.5749438916027546,1.2654827591551183,0.7275815823048353,1.1113679660095408,0.6389742233801634,missing_data,adversarial_training,PGD adversarial training,dc191f65eb0d486eb3389cc4c4bcea9f,advtrain_eps0.1_steps5_alpha0.02_channelsall,0.5813175215780735,1.2368736346140272,0.71901631577909,1.0945771473719892,0.6362968744862825,missing_data,0.0063736299753188,-0.0286091245410913,-0.0085652665257452,-0.0167908186375516,-0.0026773488938809,winner_pool
4,traffic,Traffic,5,TSMixer,TSMixer,Fully Connected,41f9af6ab1b86f6fe5ef4323c149934cbaf2f1c6c4b6bb60ffda29c7857cf618,892bc9a58a1a4da6b051823d2ca08e2a,baseline,0.6308187228739262,1.2898319247098935,0.8136501274675131,1.1133019834513824,0.7022917353738098,missing_data,adversarial_training,PGD adversarial training,c976e4fb30294b179dd76051c446315e,advtrain_eps0.05_steps7_alpha0.02_channelsall,0.5696087589591742,1.37315501849947,0.7821611259460449,1.1234371710082551,0.6399196527466178,missing_data,-0.0612099639147519,0.0833230937895763,-0.0314890015214681,0.0101351875568727,-0.062372082627192,winner_pool
4,traffic,Traffic,6,PatchTST,PatchTST,Attention,41f9af6ab1b86f6fe5ef4323c149934cbaf2f1c6c4b6bb60ffda29c7857cf618,966a68733399471296c536464bc22275,baseline,0.4527831646978855,1.6762216244063644,0.758964931833744,1.2961403584602942,0.5868705333963037,missing_data,adversarial_training,PGD adversarial training,838a10bc5c7846968cd5371be73022b2,advtrain_eps0.05_steps5_alpha0.02_channelsall,0.4370809951394796,1.7395664827517925,0.7603314493924379,1.305626836053866,0.570664676783234,missing_data,-0.0157021695584058,0.0633448583454281,0.0013665175586938,0.0094864775935716,-0.0162058566130697,winner_pool
